bucket,type,name,link,srcUrl,stars,forks,commits,releases,contributors,openIssues,stackoverflowQuestions,language,description,excerpt
tech-trigger,js-library,Hood.ie,http://hood.ie/,https://github.com/hoodiehq/hoodie.js,1643,100,1749,82,,63,5,JavaScript,hoodie super power to the frontend!,"an Offline First and noBackend architecture for frontend-only apps on the web and on iOS. Build complete web apps in days, without having to worry about backends, databases or servers, all w…"
tech-trigger,server-web-framework,Koa,http://koajs.com/,https://github.com/koajs/koa,6253,441,674,39,61,10,141,JavaScript,Expressive middleware for node.js using generators,"a web framework which aims to be a smaller, more expressive, and more robust foundation for web applications and APIs. "
tech-trigger,server-web-framework,Meteor,http://meteor.com/,https://github.com/meteor/meteor,25292,2850,14243,581,204,590,12091,JavaScript,"Meteor, an ultra-simple, database-everywhere, data-on-the-wire, pure-Javascript web framework.",a modular platform for developing web and mobile applications in JavaScript based on the NodeJS platform.
tech-trigger,server-web-framework,Derby.js,http://derbyjs.com/,https://github.com/derbyjs/derby,3719,202,1654,117,24,47,87,JavaScript,"MVC framework making it easy to write realtime, collaborative applications that run in both Node.js and browsers","a full-stack JavaScript MVC framework with support for HTML templates, view bindings, model syncing, customizable persistence and conflict resolution."
inflated-expectations,client-web-framework,ReactJS-Flux,https://facebook.github.io/flux/,http://github.com/facebook/flux,6313,1140,220,2,60,40,279,JavaScript,Application Architecture for Building User Interfaces,the application architecture that Facebook uses for building client-side web applications with React. It complements React's composable view components by utilizing a unidirectional data flow.
inflated-expectations,js-library,ReactJS,https://facebook.github.io/react/,https://github.com/facebook/react,22683,3217,4464,27,410,547,3153,JavaScript,"A declarative, efficient, and flexible JavaScript library for building user interfaces.",a JavaScript library for building user interfaces. It uses a declarative paradigm that makes it easier to reason about your application and aims to be both efficient and flexible.
inflated-expectations,server-web-framework,Spring Boot,http://projects.spring.io/spring-boot/,http://github.com/spring-projects/spring-boot,2159,2124,4622,39,152,439,3214,Java,Spring Boot,"Spring Boot makes it easy to create Spring-powered, production-grade applications and services with absolute minimum fuss. It takes an opinionated view of the Spring platform so that new and existing …"
inflated-expectations,client-web-framework,FOAM,http://foam-framework.github.io/foam/,https://github.com/foam-framework/foam,677,39,8947,32,10,116,0,JavaScript,Feature-Oriented Active Modeller,
inflated-expectations,client-web-framework,Aurelia,http://aurelia.io/,https://github.com/aurelia/framework,3012,128,103,23,10,33,94332,JavaScript,The aurelia framework brings together all the required core aurelia libraries into a ready-to-go application-building platform.,A next generation JavaScript client framework that leverages simple conventions to empower your creativity.A powerful client-side router for Aurelia framework.A lightweight pub/sub messaging system for app-wide or per- object loosely coupled events.A validation plugin for Aurelia.
inflated-expectations,client-web-framework,Hapi,http://hapijs.com,https://github.com/hapijs/hapi,4263,460,4273,179,118,22,67,JavaScript,Server Framework  for Node.js,"HAPI (HL7 application programming interface; pronounced ""happy"") is an open-source, object-oriented HL7 2.x parser for Java."
inflated-expectations,client-web-framework,Mithril,https://lhorie.github.io/mithril/,http://github.com/lhorie/mithril.js,3566,272,1015,33,68,42,39,JavaScript,A Javascript Framework for Building Brilliant Applications (development repo),a client-side MVC framework.
inflated-expectations,server-web-framework,DropWizard,http://www.dropwizard.io/,https://github.com/dropwizard/dropwizard,3326,1377,3009,51,180,44,568,Java,A damn simple library for building production-ready RESTful web services.,"a Java framework for developing ops-friendly, high-performance, RESTful web services."
disillusionment-trough,server-web-framework,ExpressJS,http://expressjs.com/,https://github.com/strongloop/express,19056,3820,5120,250,178,76,15062,JavaScript,"Fast, unopinionated, minimalist web framework for node.","a minimal and flexible Node.js web application framework, providing a robust set of features for building web applications."
disillusionment-trough,server-web-framework,Wicket,http://wicket.apache.org/,https://github.com/apache/wicket,260,155,18648,222,32,5,3087,Java,Mirror of Apache Wicket,"Apache Wicket, commonly referred to as Wicket, is a lightweight component-based web application framework for the Java programming language conceptually similar to JavaServer Faces and Tapestry. "
disillusionment-trough,server-web-framework,Jboss Seam,http://seamframework.org/,https://github.com/seam/parent,12,10,166,16,,0,1716,,Seam Parent POM,"an open source enterprise framework in Java. Because it fulfills some of the missed features of Java technologies such as JavaServer Faces and Enterprise Java Beans, Seam has positioned …"
disillusionment-trough,server-web-framework,CodeIgniter,http://www.codeigniter.com/,https://github.com/bcit-ci/CodeIgniter,9972,5162,8280,14,346,60,38813,PHP,Open Source PHP Framework (originally from EllisLab),an open-source PHP web development framework created by EllisLab Inc and it has been adopted by British Columbia Institute of Technology. The framework implements a modified version of …
disillusionment-trough,server-web-framework,Zend Framework,http://framework.zend.com/,https://github.com/zendframework/zf2,5166,3169,26920,67,703,590,25437,PHP,Official Zend Framework 2 git repository,"an open source, object-oriented web application framework implemented in PHP 5 and licensed under the New BSD License."
disillusionment-trough,server-web-framework,Flask,http://flask.pocoo.org/,https://github.com/mitsuhiko/flask,14165,4102,2256,16,,153,7876,Python,"A microframework based on Werkzeug, Jinja2 and good intentions","a web microframework for Python based on ""Werkzeug, Jinja 2 and good intentions"". BSD-licensed."
enlightenment-slope,server-web-framework,Stripes,https://stripesframework.atlassian.net/wiki/display/STRIPES/Home,https://github.com/StripesFramework/stripes,68,27,1063,31,,5,261,Java,"Stripes is a Java framework with the goal of making Servlet/JSP based web development in Java as easy, intuitive and straight-forward as it should be. It's stripey and it doesn't suck.",an open source web application framework based on the model-view-controller pattern.
enlightenment-slope,server-web-framework,Laravel,http://laravel.com/,https://github.com/laravel/laravel,16583,5348,4428,51,270,27,36945,PHP,A PHP Framework For Web Artisans,"an open-source PHP web development MVC framework created by Taylor Otwell. Laravel helps you create applications using simple, expressive syntax."
enlightenment-slope,client-web-framework,KnockoutJS,http://knockoutjs.com/,https://github.com/knockout/knockout,6419,1100,1371,35,56,236,14627,JavaScript,"Knockout makes it easier to create rich, responsive UIs with JavaScript",an open source JavaScript library for dynamic HTML UIs using the Model-View-View Model (MVVM) pattern.
enlightenment-slope,client-web-framework,FlightJS,https://flightjs.github.io/,https://github.com/flightjs/flight,6068,553,494,21,53,16,20,JavaScript,"A component-based, event-driven JavaScript framework from Twitter","a lightweight, component-based JavaScript framework that maps behavior to DOM nodes. Twitter uses it for their web applications."
enlightenment-slope,client-web-framework,EmberJS,http://emberjs.com/,https://github.com/emberjs/ember.js,13865,2953,9793,118,493,465,20365,JavaScript,Ember.js - A JavaScript framework for creating ambitious web applications,"an MVC application framework written in JavaScript.  Consider making your question easier to answer by using the pre-configured templates from this tag's wiki (click learn more).
"
enlightenment-slope,client-web-framework,AngularJS,http://angularjs.org/,https://github.com/angular/angular.js,39034,16534,6766,139,1236,1260,111943,JavaScript,HTML enhanced for web apps,an open-source JavaScript framework. Its goal is to augment browser-based applications with Model–View–Whatever(MV*) capability and reduce the amount of JavaScript needed to make web appl…
enlightenment-slope,server-web-framework,Netty,http://netty.io/,https://github.com/netty/netty,4691,2308,6736,123,155,278,23093,Java,Netty project - an event-driven asynchronous network application framework,An open source asynchronous event-driven network application framework written in Java. It is a NIO client server framework which enables quick and easy development of network applications such as pro…Reactive Extension (Rx) Adaptor for Netty
enlightenment-slope,server-web-framework,Grails,http://grails.org/,https://github.com/grails/grails-core,1341,646,15961,85,154,120,23262,Java,The Grails Web Application Framework,"an Open Source, full stack, web application framework that uses the Groovy programming language (which is in turn based on the Java virtual machine (JVM) and Java. The framework is oriented …"
enlightenment-slope,server-web-framework,GWT,http://www.gwtproject.org/,https://github.com/gwtproject/gwt,338,73,8449,57,,0,18672,Java,GWT Open Source Project,a development toolkit for building and optimizing complex browser-based applications. Its goal is to enable productive development of high-performance web appl…
productivity-plateau,server-web-framework,Play,http://playframework.com/,https://github.com/playframework/playframework,6322,2219,6325,87,424,200,17876,Scala,Play Framework,a modern Java and Scala web application open-source framework that provides a clean alternative to bloated Enterprise Java stacks.
productivity-plateau,client-web-framework,BackboneJS,http://backbonejs.org/,https://github.com/jashkenas/backbone,21940,4896,3008,22,258,23,20058,JavaScript,"Give your JS App some Backbone with Models, Views, Collections, and Events",a JavaScript library that provides structure to RESTful web applications.
productivity-plateau,js-library,YUI,http://yuilibrary.com/,https://github.com/yui/yui3,2982,1014,25381,79,139,397,2067,JavaScript,A library for building richly interactive web applications.,"a set of utilities and controls, written with JavaScript and CSS, for building richly interactive web applications using techniques such as DOM scripting, DH…"
productivity-plateau,js-library,Dojo,https://dojotoolkit.org/,https://github.com/dojo/dojo,586,334,3754,165,,27,7847,JavaScript,The Dojo Toolkit core library. Please submit bugs to https://bugs.dojotoolkit.org/,"an open source modular JavaScript library designed to ease the rapid development of cross-platform, JavaScript/Ajax-based applications and web sites. It is dual-licensed under the BSD …"
productivity-plateau,client-web-framework,ExtJS,http://www.sencha.com/products/extjs/#overview,http://www.sencha.com/products/extjs/evaluate/,,,,,,,28043,js,,a JavaScript framework for building Rich Internet Applications (RIAs).
productivity-plateau,js-library,jQuery,http://jquery.com/,https://github.com/jquery/jquery,34598,8478,5829,127,224,110,616084,JavaScript,jQuery JavaScript Library,"a popular cross-browser JavaScript library that facilitates DOM (Document Object Model - HTML Structure) traversal, event handling, animations, and AJAX interactions by minimizing the discre…"
productivity-plateau,server-web-framework,Struts,http://struts.apache.org/,https://github.com/apache/struts,193,206,3960,70,13,2,13504,Java,Mirror of Apache Struts,a free open-source solution for creating Java web applications. This framework has reached End Of Life status as of 2013-04-05.
productivity-plateau,server-web-framework,Spring MVC,http://docs.spring.io/spring/docs/current/spring-framework-reference/html/mvc.html,https://github.com/spring-projects/spring-framework,5694,4797,10389,70,,80,26036,Java,The Spring Framework,"Based on the Model-View-Controller (MVC) pattern, Spring MVC helps you build web-based applications that are flexible and decoupled from the underlying view technologies."
productivity-plateau,server-web-framework,ASP.NET,http://www.asp.net/,https://github.com/aspnet/Mvc,1786,595,1752,7,53,206,452813,C#,"Model view controller framework for building dynamic web sites with clean separation of concerns, including the merged MVC, Web API, and Web Pages w/ Razor.","a Microsoft web application development framework that allows programmers to build dynamic web sites, web applications and web services. "
productivity-plateau,server-web-framework,Django,https://www.djangoproject.com/,https://github.com/django/django,14401,5727,20657,108,874,67,95798,Python,The Web framework for perfectionists with deadlines.,"an open source web application framework, written in Python. Django is designed to reduce the effort required to create complex database-driven websites."
productivity-plateau,server-web-framework,Rails,http://rubyonrails.org/,https://github.com/rails/rails,26289,10450,51433,259,2727,803,293270,Ruby,Ruby on Rails,"an open source full-stack web application framework written in Ruby. It follows the popular MVC framework model and is known for its ""convention over configuration"" approach to applic…"
enlightenment-slope,rwd-css-frameworks,Twitter Bootstrap,http://getbootstrap.com,https://github.com/twbs/bootstrap,81596,32441,11382,32,651,77,52166,CSS,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.","a front-end framework from Twitter designed to kick-start development of Web apps and sites. Use ""twitter-bootstrap"" and NOT ""bootstrap"" to ask a question about this framework."
enlightenment-slope,rwd-css-frameworks,Foundation,http://foundation.zurb.com/,http://github.com/zurb/foundation,20155,4314,8552,92,688,79,3408,CSS,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.,a cross-device CSS framework for building both prototypes and production code.
enlightenment-slope,rwd-css-frameworks,Skeleton,http://getskeleton.com/,https://github.com/dhg/Skeleton,8739,1488,167,6,24,54,110,CSS,"Skeleton: A Dead Simple, Responsive Boilerplate for Mobile-Friendly Development",A small collection of CSS files that can help to rapidly develop sites for any form factor on any device.
enlightenment-slope,css-authoring,Less,http://lesscss.org/,https://github.com/less/less.js,12325,2823,2443,42,182,196,4306,JavaScript,Leaner CSS,"an open-source stylesheet preprocessor that extends CSS with dynamic behavior such as variables, mixins, operations and functions. It's also a unix command to display a file."
enlightenment-slope,css-authoring,Sass,http://sass-lang.com/,https://github.com/sass/sass,5952,1229,5965,170,163,150,6349,Ruby,Sass makes CSS fun again.,"an extension of CSS adding features like nested rules, variables and mixins. This enables developers to write structured, manageable and reusable CSS. Sass …"
enlightenment-slope,css-authoring,Compass,http://compass-style.org/,https://github.com/Compass/compass,6292,1161,3533,143,202,356,2142,CSS,Compass is a Stylesheet Authoring Environment that makes your website design simpler to implement and easier to maintain.,a charityware authoring framework. It uses the SASS stylesheet language to create clean and reusable CSS3 code.
enlightenment-slope,css-authoring,Stylus,http://learnboost.github.io/stylus/,https://github.com/stylus/stylus,5732,786,3709,149,134,143,38125,JavaScript,"Expressive, robust, feature-rich CSS language built for nodejs","Expressive, robust, feature-rich CSS language built for Node.jsa pen-shaped instrument that is used to input commands to a computer screen, mobile device or graphics tablet."
enlightenment-slope,client-web-framework,SpineJS,http://spinejs.com,https://github.com/spine/spine,3043,392,897,21,71,32,179,JavaScript,Lightweight MVC library for building JavaScript applications,a lightweight framework for building JavaScript web applications.
tech-trigger,web-components,Brick,http://mozbrick.github.io/,https://github.com/mozbrick/brick,2856,216,683,20,18,30,2,JavaScript,UI Web Components for Modern Web Apps,A bundle of reusable UI components to enable rapid development of cross-browser and mobile-friendly HTML5 web applications
tech-trigger,web-components,Polymer,http://polymer-project.org/,https://github.com/Polymer/polymer,9941,934,2760,57,43,441,2573,HTML,Leverage the future of the web platform today.,"a new type of library for the web, built on top of Web Components, and designed to leverage the evolving web platform on modern browsers."
